"DAY SHEETS, as at 5:48AM on Friday 4th"
DAY 1: Friday 23rd January 2026
18 (R),08:37,4,W Nov 2X,heat,1,WELC 2,KICC 1,TGAC 1,WESC 1,HWBC 2,CLIC 1,CAMC 12,HAMC 4,,"1=FA + 3 NF; NF 8=FB; NF 8=FC"
19 (S),08:42,4,W Nov 2X,heat,2,HWBC 4,TGSC 1,CLIC 2,NSHC 1,AWGC 1,HAMC 2,WELC 3,SKEC 1,,"1=FA + 3 NF; NF 8=FB; NF 8=FC"
20 (T),08:47,4,W Nov 2X,heat,3,MERC 1,CAMC 21,WKOC 1,HWBC 1,UNWC 1,WREC 4,TGAC 2,WELC 1,,"1=FA + 3 NF; NF 8=FB; NF 8=FC"
21 (U),08:52,4,W Nov 2X,heat,4,CLIC 3,STAC 2,COMC 1,SGEC 11,WREC 2,HWBC 3,HAMC 3,UNWC 3,,"1=FA + 3 NF; NF 8=FB; NF 8=FC"
22 (V),08:57,4,W Nov 2X,heat,5,SKEC 2,AWGC 2,WREC 3,HAMC 1,CAMC 11,STAC 1,UNWC 2,,,"1=FA + 3 NF; NF 8=FB; NF 8=FC"
23 (W),09:01,5E,M #2 Int 4X+,heat,1,,SKEC 3,CAMC 11,HAMC 1,SPCC 2,HWBC 1,STAC 1,KICC 2,,"2=FA + 2 NF"
24 (X),09:05,5E,M #2 Int 4X+,heat,2,,TGSC 2,STAC 2,SPCC 1,CAMC 21,SHAC 11,WANC 2,SKEC 1,,"2=FA + 2 NF"
25 (Y),09:09,5E,M #2 Int 4X+,heat,3,,SHAC 2,WANC 1,BPCC 1,TGBC 1,KICC 1,SKEC 2,,,"2=FA + 2 NF"
26 (Z),09:13,6,M Int 4X+,heat,1,SKEC 2,CAMC 1,SHAC 11,SPCC 2,AWGC 1,TGAC 1,STAC 1,WANC 2,,"1=FA; + 4 NF; NF 9=FB; etc"
27 (A),09:17,6,M Int 4X+,heat,2,ROT* 2,KICC 1,TAWC 1,GISC 1,WELC 1,STAC 2,HKIC 3,CAMC 11,,"1=FA; + 4 NF; NF 9=FB; etc"
28 (B),09:21,6,M Int 4X+,heat,3,STAC 3,HKIC 2,HAMC 1,SHAC 1,SPCC 1,MERC 2,CAMC 21,AKGC 1,,"1=FA; + 4 NF; NF 9=FB; etc"
29 (C),09:25,6,M Int 4X+,heat,4,HKIC 1,SKEC 1,BPCC 1,MERC 1,HWBC 1,WANC 1,TGSC 2,SJHM 1,,"1=FA; + 4 NF; NF 9=FB; etc"
30 (D),09:29,6,M Int 4X+,heat,5,,AKGC 2,WHAC 1,NSH* 1,TGSC 1,TGBC 1,KICC 2,SKEC 3,,"1=FA; + 4 NF; NF 9=FB; etc"
31 (E),09:34,7,M Nov 8+,heat,1,AKGC 2,CAMC 21,KICC 2,HWBC 1,CLIC 1,,,,,"1-3=F + 2 NF"
32 (F),09:39,7,M Nov 8+,heat,2,,STAC 1,TGBC 1,KICC 1,AKGC 1,,,,,"1-3=F + 2 NF"
33 (G),09:43,8,M Prm 1X,heat,1,,WKOC 5,CLIC 1,RNZX 2,,WKOC 1,WKOC 3,WKOC 6,,"1,2=FA + 3 NF; NF 9=FB"
34 (H),09:47,8,M Prm 1X,heat,2,,RPHN 2,NSHC 1,RNZX 4,RNZX 1,RPHN 1,RNZX 5,,,"1,2=FA + 3 NF; NF 9=FB"
35 (I),09:51,8,M Prm 1X,heat,3,,SGEC 1,TBJC 1,WKOC 2,RNZX 3,WKOC 4,NSHC 2,,,"1,2=FA + 3 NF; NF 9=FB"
36 (J),09:55,9,W Prm 1X,heat,1,RNZX 5,,WESC 1,RNZX 3,RNZX 2,WKOC 6,WKOC 3,WKOC 5,,"1..3=FA + 3 NF; NF 9=FB"
37 (K),09:59,9,W Prm 1X,heat,2,WKOC 7,WKOC 1,WKOC 4,RNZX 4,RNZX 1,WKOC 2,,RNZX 7,,"1..3=FA + 3 NF; NF 9=FB"
38 (L),10:03,10,M Snr 2-,heat,1,,WESC 2,WKOC 4,WKOC 5,STAC 1,WKOC 3,NSHC 1,AKLC 2,,"1..3=F + 3 NF"
39 (M),10:07,10,M Snr 2-,heat,2,,WKOC 2,AKLC 3,AKLC 1,NSHC 2,TGAC 1,WESC 1,WKOC 1,,"1..3=F + 3 NF"
40 (N),10:11,11,W Snr 2-,prelim,1,,WKDS 3,WANC 1,WKDS 2,NSHC 1,AKLC 1,WKDS 1,PETC 1,,""
41 (O),10:15,12,W Clb 8+,heat,1,,CAMC 21,WKOC 1,HAMC 1,AKLC 32,WKDS 1,COMC 1,EGGS 2,,"1..3=F + 3 NF"
42 (P),10:19,12,W Clb 8+,heat,2,,HAMG 1,EGGS 1,NSHC 1,SKEC 1,STAC 1,AKLC 31,,,"1..3=F + 3 NF"
43 (Q),10:23,13,W Int 2X,heat,1,ROTC 4,KICC 1,PORC 2,CLIC 1,EGGS 1,SPCC 1,WHAC 1,STAC 2,UNWC 3,"1=FA; + 2 NF; NF 9=FB; etc"
44 (R),10:27,13,W Int 2X,heat,2,CAMC 21,STAC 3,HKIC 3,TGSC 1,BPCC 1,HAMC 2,WELC 4,SKEC 2,ROTC 5,"1=FA; + 2 NF; NF 9=FB; etc"
45 (S),10:31,13,W Int 2X,heat,3,WANC 1,PORC 3,SPCC 2,GISC 1,WESC 1,TGSC 2,HKIC 2,ROTC 2,,"1=FA; + 2 NF; NF 9=FB; etc"
46 (T),10:35,13,W Int 2X,heat,4,WHAC 2,CLIC 3,GISC 2,ROTC 1,HWBC 1,UNWC 2,PORC 1,CAMC 11,,"1=FA; + 2 NF; NF 9=FB; etc"
47 (U),10:39,13,W Int 2X,heat,5,AWGC 1,CAMC 2,TGSC 3,UNWC 1,COMC 1,SKEC 1,WREC 4,WELC 3,,"1=FA; + 2 NF; NF 9=FB; etc"
48 (V),10:43,13,W Int 2X,heat,6,AKLC 31,WREC 1,CAMC 1,WELC 1,CLIC 2,TGAC 1,GISC 3,AWGC 2,,"1=FA; + 2 NF; NF 9=FB; etc"
49 (W),10:47,13,W Int 2X,heat,7,WREC 2,BPCC 2,HAMC 3,STAC 1,WELC 2,WREC 3,HWBC 2,HKIC 1,,"1=FA; + 2 NF; NF 9=FB; etc"
50 (X),10:52,14E,W #2 Nov 4+,heat,1,WKDS 1,PETC 1,,HAMG 1,AKLC 32,,,,,"1,2=F + 2 NF"
51 (Y),10:57,14E,W #2 Nov 4+,heat,2,AKLC 33,WKDS 2,NSHC 1,AKLC 34,CAMC 21,,,,,"1,2=F + 2 NF"
52 (Z),11:02,15,W Nov 4+,heat,1,CAMC 21,EGGS 1,WKDS 1,AKLC 32,HAMC 3,BPCC 1,,,,"1=FA; + 4 NF; NF 8=FB"
53 (A),11:07,15,W Nov 4+,heat,2,HWBC 1,HAMC 2,WESC 1,NSHC 1,STAC 1,WELC 1,,,,"1=FA; + 4 NF; NF 8=FB"
54 (B),11:12,15,W Nov 4+,heat,3,HAMC 4,PETC 1,AKLC 31,HAMG 1,EGGS 2,WREC 1,,,,"1=FA; + 4 NF; NF 8=FB"
55 (C),11:17,15,W Nov 4+,heat,4,EGGS 3,,HAMC 1,MERC 1,TGAC 1,HWBC 2,,,,"1=FA; + 4 NF; NF 8=FB"
56 (D),11:21,16,M Clb 4-,heat,1,,PORC 1,GISC 1,STAC 1,AKLC 1,WKOC 2,NSHC 3,,,"1..3=F + 3 NF"
57 (E),11:25,16,M Clb 4-,heat,2,,,HWBC 1,NSHC 1,WKOC 1,NSHC 2,AKLC 2,,,"1..3=F + 3 NF"
58 (F),11:29,17,M Clb 4+,heat,1,,CAMC 21,AKGC 1,KICC 2,KICC 1,AKGC 3,SKEC 1,GISC 1,,"1..3=F + 3 NF"
59 (G),11:33,17,M Clb 4+,heat,2,,KICC 3,STAC 1,SJHM 1,SKEC 2,TGBC 1,AKGC 2,PETC 1,,"1..3=F + 3 NF"
60 (H),11:37,18,M Int 8+,heat,1,STAC 1,AKGC 2,KICC 3,SKEC 1,KICC 2,SHAC 1,AKGC 1,SPCC 1,,"1..3=F + 3 NF"
61 (I),11:41,18,M Int 8+,heat,2,,KICC 4,HWBC 1,KICC 1,AKGC 3,MERC 1,SKEC 2,WANC 1,,"1..3=F + 3 NF"
62 (J),11:45,19,M Prm 2-,heat,1,,,RNZX 2,WKOC 2,AKLC 1,AKLC 2,RPHN 1,,,"1..3=F + 3 NF"
63 (K),11:49,19,M Prm 2-,heat,2,,,RNZX 1,,WKOC 1,RNZX 3,NSHC 2,,,"1..3=F + 3 NF"
64 (L),11:53,20,W Prm 2-,prelim,1,,RNZX 3,RPHN 1,RNZX 1,RNZX 2,WKOC 1,WKOC 2,WKOC 4,,""
65 (M),11:57,21,M Snr 2X,heat,1,,NSHC 1,SPCC 1,WKOC 2,SGEC 1,AWGC 1,CLIC 2,STAC 1,,"1..3=F + 3 NF"
66 (N),12:01,21,M Snr 2X,heat,2,,SHAC 11,TGAC 1,SPCC 2,CLIC 1,,WKOC 3,AWGC 2,,"1..3=F + 3 NF"
67 (O),12:05,22,W Snr 2X,prelim,1,,WKOC 1,WREC 1,STAC 1,WESC 2,AWGC 1,WKOC 2,HWBC 1,,""
68 (P),12:09,23,W Int 8X+,heat,1,SKEC 2,CAMC 11,WREC 1,AWGC 1,CLIC 1,TGSC 1,WKDS 1,GIS* 1,,"1..3=F + 3 NF"
69 (Q),12:13,23,W Int 8X+,heat,2,,TGSC 2,CAMC 21,MERC 1,BPCC 1,HAMC 1,SKEC 1,AKLC 31,,"1..3=F + 3 NF"
70 (R),12:18,24E,M #2 Nov 4X+,heat,1,SPCC 1,KICC 1,SKEC 1,CAMC 2,SHAC 11,,,,,"1=F + 3 NF"
71 (S),12:23,24E,M #2 Nov 4X+,heat,2,,HWBC 1,STAC 1,AKGC 2,CAMC 1,,,,,"1=F + 3 NF"
72 (T),12:28,24E,M #2 Nov 4X+,heat,3,,STAC 2,AWGC 1,TGBC 1,AKGC 1,,,,,"1=F + 3 NF"
73 (U),12:33,25,M Nov 4X+,heat,1,UNWC 2,AKGC 1,TGAC 1,CLIC 1,TGBC 1,SHAC 11,,,,"Fastest 8 to Each F"
74 (V),12:38,25,M Nov 4X+,heat,2,AKGC 2,BPC* 2,UNWC 1,CAMC 21,PORC 1,CLIC 3,,,,"Fastest 8 to Each F"
75 (W),12:43,25,M Nov 4X+,heat,3,KICC 1,SJHM 1,SKEC 1,AWGC 1,BPCC 1,HWBC 1,,,,"Fastest 8 to Each F"
76 (X),12:48,25,M Nov 4X+,heat,4,,WES* 1,WELC 1,WHAC 1,SKEC 2,TGSC 1,,,,"Fastest 8 to Each F"
77 (Y),12:53,25,M Nov 4X+,heat,5,,CLIC 2,MERC 1,AKGC 3,STAC 2,SPCC 2,,,,"Fastest 8 to Each F"
78 (Z),12:58,25,M Nov 4X+,heat,6,,ROT* 1,SPCC 1,STAC 1,CAMC 11,HAMC 1,,,,"Fastest 8 to Each F"
79 (A),13:02,26,W Clb 4X-,heat,1,,STAC 2,TAWC 1,COMC 1,WESC 1,WKO* 1,WREC 1,BPC* 2,,"1..3=F + 3 NF"
80 (B),13:06,26,W Clb 4X-,heat,2,,HAMC 1,ROTC 1,BPCC 1,AWGC 1,STAC 1,MERC 1,,,"1..3=F + 3 NF"
81 (C),13:10,27,W Clb 4X+,heat,1,,HAMG 2,CAMC 11,AKLC 31,SPCC 1,SKEC 1,GISC 1,,,"1,2=FA + 3 NF; NF 9=FB"
82 (D),13:14,27,W Clb 4X+,heat,2,,AKLC 32,ROTC 1,SPCC 2,KICC 1,AWGC 1,WELC 1,HAMG 3,,"1,2=FA + 3 NF; NF 9=FB"
83 (E),13:18,27,W Clb 4X+,heat,3,,CAMC 12,WANC 1,HKIC 1,BPCC 1,HAMC 1,HAMG 1,AKLC 33,,"1,2=FA + 3 NF; NF 9=FB"
84 (F),13:22,28,M Clb 1X,heat,1,WREC 1,HWBC 3,WANC 2,SGEC 3,HAMC 1,CLIC 3,SPCC 1,HKIC 2,WESC 2,"1=FA; + 3 NF; NF 9=FB; etc"
85 (G),13:26,28,M Clb 1X,heat,2,SJHM 1,SGEC 2,TGBC 1,HKIC 1,AWGC 1,TPOC 1,HAMC 3,STAC 3,AKLC 2,"1=FA; + 3 NF; NF 9=FB; etc"
86 (H),13:30,28,M Clb 1X,heat,3,WANC 1,WELC 3,TGSC 1,HWBC 2,SGEC 1,WHAC 1,AWGC 3,CAMC 11,TAWC 2,"1=FA; + 3 NF; NF 9=FB; etc"
87 (I),13:34,28,M Clb 1X,heat,4,CLIC 1,WKOC 2,MERC 1,CAMC 21,AKLC 1,WESC 1,HWBC 1,SHAC 1,HAMC 2,"1=FA; + 3 NF; NF 9=FB; etc"
88 (J),13:38,28,M Clb 1X,heat,5,STAC 2,HKIC 4,GISC 1,CLIC 2,WKOC 1,,WELC 1,PORC 2,MERC 3,"1=FA; + 3 NF; NF 9=FB; etc"
89 (K),13:42,28,M Clb 1X,heat,6,CAMC 1,CLIC 4,TGBC 2,AWGC 4,PORC 1,HKIC 3,MERC 2,WAIC 1,STAC 4,"1=FA; + 3 NF; NF 9=FB; etc"
90 (L),13:46,29,M Int 2X,heat,1,,BPCC 2,TGAC 2,SPCC 2,WKOC 1,AWGC 1,SJHM 2,CAMC 11,STAC 4,"1=FA; + 2 NF; NF 9=FB; etc"
91 (M),13:50,29,M Int 2X,heat,2,STAC 5,TGSC 3,WHAC 1,TGAC 1,TGBC 1,BPCC 1,GISC 3,HAMC 3,,"1=FA; + 2 NF; NF 9=FB; etc"
92 (N),13:54,29,M Int 2X,heat,3,WHAC 2,GISC 1,WANC 3,AKLC 1,,STAC 1,CAMC 1,WANC 2,,"1=FA; + 2 NF; NF 9=FB; etc"
93 (O),13:58,29,M Int 2X,heat,4,HWBC 1,PORC 1,SKEC 2,NSHC 1,SHAC 11,HKIC 3,TAWC 2,PETC 1,,"1=FA; + 2 NF; NF 9=FB; etc"
94 (P),14:02,29,M Int 2X,heat,5,KICC 1,GISC 2,SJHM 1,TGSC 2,SPCC 1,WELC 1,WANC 1,SKEC 1,,"1=FA; + 2 NF; NF 9=FB; etc"
95 (Q),14:06,29,M Int 2X,heat,6,SPCC 3,AWGC 2,HKIC 2,WESC 1,HAMC 1,CAMC 21,STAC 2,HWBC 2,,"1=FA; + 2 NF; NF 9=FB; etc"
96 (R),14:10,29,M Int 2X,heat,7,HKIC 1,STAC 3,CAMC 2,WELC 2,TGSC 1,TAWC 1,HAMC 2,UNWC 1,,"1=FA; + 2 NF; NF 9=FB; etc"
97 (S),14:15,30A,M Prm 2X,prelim,1,RNZX 1,,RPHN 1,WKOC 1,,,,,,""
97 (S),14:15,30B,W Prm 2X,prelim,1,,,,,,RNZX 3,RNZX 4,,WKOC 2,""
98 (T),14:20,31,W Nov 8X+,heat,1,AKLC 32,BPCC 1,WKDS 1,COMC 1,CAMC 21,,,,,"2=FA + 2 NF; NF=FB"
99 (U),14:25,31,W Nov 8X+,heat,2,UNWC 1,COMC 2,AWGC 1,MERC 1,HWBC 1,,,,,"2=FA + 2 NF; NF=FB"
100 (V),14:30,31,W Nov 8X+,heat,3,,CAMC 22,HAMC 1,SKEC 1,AKLC 31,,,,,"2=FA + 2 NF; NF=FB"
101 (W),14:34,32,W Int 8+,heat,1,WREC 1,CAMC 21,SKEC 1,EGGS 2,EGGS 1,CAMC 11,MERC 1,KIC* 1,STAC 1,"1..3=F + 3 NF"
102 (X),14:38,32,W Int 8+,heat,2,EGGS 3,COMC 1,WKDS 1,HAMC 1,PORC 1,AKLC 31,CAMC 22,WEL* 1,,"1..3=F + 3 NF"
103 (Y),14:42,33A,M Snr 4X-,prelim,1,,TGB* 1,WKOC 2,TGA* 1,WKOC 1,CLIC 1,AWGC 1,SGE* 1,,""
104 (Z),14:46,33B,Mx Opn 4X-,prelim,1,,CAMC 1,,,,,,,,""
104 (Z),14:46,33C,W Snr 4X-,prelim,1,,,,AWGC 2,STA* 1,WKOC 3,WESC 1,WKOC 4,,""
105 (A),14:50,34,W Clb 2-,heat,1,,SPCC 1,TGAC 1,STAC 1,NSHC 1,MERC 1,EGGS 2,HAMC 1,,"1=FA + 5 NF; NF 9=FB"
106 (B),14:54,34,W Clb 2-,heat,2,WESC 1,GISC 1,AKLC 1,EGGS 1,WKDS 1,NSHC 2,HAMC 2,CAMC 22,,"1=FA + 5 NF; NF 9=FB"
107 (C),14:58,34,W Clb 2-,heat,3,,WELC 1,MERC 2,AKLC 31,WKOC 1,WKDS 2,NSHC 4,EGGS 3,,"1=FA + 5 NF; NF 9=FB"
108 (D),15:02,34,W Clb 2-,heat,4,,CAMC 21,PETC 1,NSHC 3,WANC 1,,SKEC 1,AKLC 32,,"1=FA + 5 NF; NF 9=FB"
109 (E),15:06,35,M Clb 8+,heat,1,,AKGC 2,SGE* 1,KICC 1,NSHC 1,AKLC 1,SKEC 1,,,"1..3=F + 3 NF"
110 (F),15:10,35,M Clb 8+,heat,2,,PETC 1,AKGC 3,HWBC 1,WKOC 1,SJHM 1,AKGC 1,,,"1..3=F + 3 NF"
111 (G),15:15,36E,M #2 Nov 4+,prelim,1,,STAC 1,KICC 1,SJHM 1,STAC 2,,,,,""
112 (H),15:20,37,M Nov 4+,heat,1,HAMC 1,TGBC 2,KICC 1,TGAC 1,MERC 1,SPCC 1,,,,"2=FA + 2 NF; rest=FB"
113 (I),15:25,37,M Nov 4+,heat,2,HWBC 1,SJHM 1,AKGC 1,KICC 2,WELC 1,CLIC 1,,,,"2=FA + 2 NF; rest=FB"
114 (J),15:30,37,M Nov 4+,heat,3,STAC 1,CAMC 21,TGBC 1,WES* 1,PORC 1,,,,,"2=FA + 2 NF; rest=FB"
115 (K),15:35,38A,M Prm 4-,prelim,1,,RNZX 1,AVN* 1,,,,,,,""
115 (K),15:35,38B,W Prm 4-,prelim,1,,,,,RNZX 3,WKO* 1,,,,""
116 (L),15:39,39,M Int 8X+,heat,1,,TGSC 1,STAC 1,HAMC 1,TGBC 1,SKEC 1,HKIC 1,WANC 1,,"1..3=F + 3 NF"
117 (M),15:43,39,M Int 8X+,heat,2,,SPCC 1,KICC 1,BPCC 1,SHAC 1,WHAC 1,SKEC 2,CAMC 21,,"1..3=F + 3 NF"
118 (N),15:48,40,W Nov 8+,heat,1,CAMC 22,COMC 1,AKLC 31,WKDS 1,HAMG 1,CLIC 1,,,,"2=FA + 2 NF; rest=FB"
119 (O),15:53,40,W Nov 8+,heat,2,HAMC 1,WKDS 2,NSHC 1,HWBC 1,AKLC 32,,,,,"2=FA + 2 NF; rest=FB"
120 (P),15:58,40,W Nov 8+,heat,3,WRE* 1,PETC 1,EGGS 1,CAMC 21,COMC 2,,,,,"2=FA + 2 NF; rest=FB"
121 (Q),16:02,41A,M Snr 4-,prelim,1,WKOC 1,NSHC 2,WESC 1,NSHC 1,AKLC 3,WKOC 3,AKLC 2,WKOC 2,,""
122 (R),16:06,41B,W Snr 4-,prelim,1,,,WKOC 5,AKLC 1,WKOC 4,WKDS 1,,,,""
123 (S),16:10,42,W Clb 1X,heat,1,,CAMC 11,WREC 1,WHAC 1,PORC 1,STAC 1,GISC 1,EGGS 2,,"1=FA; + 4 NF; NF 9=FB; etc"
124 (T),16:14,42,W Clb 1X,heat,2,PETC 1,WELC 1,WTMC 1,TGAC 1,ROTC 1,WKOC 2,WKDS 1,SPCC 2,,"1=FA; + 4 NF; NF 9=FB; etc"
125 (U),16:18,42,W Clb 1X,heat,3,,EGGS 1,HWBC 2,,WKOC 1,WREC 2,HKIC 2,BPCC 2,,"1=FA; + 4 NF; NF 9=FB; etc"
126 (V),16:22,42,W Clb 1X,heat,4,,TGAC 2,HKIC 1,ROTC 2,HWBC 1,CLIC 1,AWGC 1,,,"1=FA; + 4 NF; NF 9=FB; etc"
127 (W),16:26,42,W Clb 1X,heat,5,,GISC 2,WHAC 2,KICC 1,WESC 1,TAWC 2,BPCC 1,WREC 3,,"1=FA; + 4 NF; NF 9=FB; etc"
128 (X),16:30,43,M Clb 4X-,heat,1,NSHC 1,SGEC 2,WESC 1,AWGC 1,WKOC 1,SHAC 1,STAC 1,PORC 1,,"1..3=F + 3 NF"
129 (Y),16:34,43,M Clb 4X-,heat,2,,,WKOC 2,SGE* 1,HWBC 1,CLIC 1,HAMC 1,WREC 1,,"1..3=F + 3 NF"
130 (Z),16:40,44,M Clb 4X+,heat,1,WELC 1,NSHC 1,AKGC 1,WANC 2,CAMC 21,GISC 1,WAI* 1,STAC 2,,"1,2=FA + 3 NF; NF 9=FB"
131 (A),16:44,44,M Clb 4X+,heat,2,,WANC 3,SKEC 1,GISC 2,AWGC 1,TGBC 1,HKIC 2,CAMC 11,,"1,2=FA + 3 NF; NF 9=FB"
132 (B),16:48,44,M Clb 4X+,heat,3,,CAMC 22,KICC 1,SPCC 1,WANC 1,STAC 1,TGB* 2,HKIC 1,,"1,2=FA + 3 NF; NF 9=FB"
133 (C),16:52,45E,W #2 Int 4X+,heat,1,SKEC 1,TGSC 4,WREC 2,HAMC 1,BPCC 2,AWGC 1,TGSC 3,PORC 1,,"1,2=FA + 3 NF; NF 9=FB"
134 (D),16:56,45E,W #2 Int 4X+,heat,2,,CAMC 21,TGSC 2,MERC 1,AKLC 31,ROTC 1,BPCC 1,COMC 1,,"1,2=FA + 3 NF; NF 9=FB"
135 (E),17:00,45E,W #2 Int 4X+,heat,3,,ROTC 2,STAC 1,TGSC 1,HAMG 1,WREC 1,CAMC 11,AKLC 32,,"1,2=FA + 3 NF; NF 9=FB"
136 (F),17:04,46,W Int 4X+,heat,1,WELC 2,PORC 1,TAWC 1,BPCC 2,AKLC 31,WREC 2,HAMC 1,EGGS 1,,"1=FA; + 4 NF; NF 9=FB; etc"
137 (G),17:08,46,W Int 4X+,heat,2,BPCC 1,AWGC 1,MERC 1,SPCC 1,CLIC 1,CAMC 21,WREC 1,UNW* 2,,"1=FA; + 4 NF; NF 9=FB; etc"
138 (H),17:12,46,W Int 4X+,heat,3,KICC 2,STAC 1,CAMC 11,WESC 1,HAMG 1,ROTC 1,TGSC 2,SKEC 1,,"1=FA; + 4 NF; NF 9=FB; etc"
139 (I),17:16,46,W Int 4X+,heat,4,WREC 3,CAMC 1,UNWC 1,WANC 1,TGSC 1,HAMC 3,WHAC 1,KIC* 1,,"1=FA; + 4 NF; NF 9=FB; etc"
140 (J),17:20,46,W Int 4X+,heat,5,WKDS 1,COMC 1,WELC 1,CAMC 2,GISC 1,CLIC 2,HKIC 1,,,"1=FA; + 4 NF; NF 9=FB; etc"
141 (K),17:25,47A,M Prm 4X-,prelim,1, - - CANCELLED - -,,,,,,,,,""
141 (K),17:25,47B,W Prm 4X-,prelim,1, - - CANCELLED - -,,,,,,,,,""
142 (L),17:29,48,M Int 4+,heat,1,AKGC 2,HWBC 1,SKEC 4,CAMC 21,SKEC 1,KICC 1,AKGC 3,WELC 1,STAC 3,"1,2=FA + 3 NF; NF 9=FB"
143 (M),17:33,48,M Int 4+,heat,2,STAC 2,AKGC 5,SJHM 1,AKGC 1,MERC 1,SKEC 2,KICC 3,PETC 1,,"1,2=FA + 3 NF; NF 9=FB"
144 (N),17:37,48,M Int 4+,heat,3,SJHM 2,SKEC 3,AKGC 4,KICC 2,AKL* 1,MERC 2,TGBC 1,STAC 1,,"1,2=FA + 3 NF; NF 9=FB"

DAY 2: Saturday 24th January 2026
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_3,lane_4,lane_5,lane_6,lane_7,lane_8,lane_9,Progression
145 (A),07:30,41C,Opn 1X (P) [1000m],prelim,1,,,HWBC 1,ROTC 1,CAMC 1,TGSC 1,CAMC 2,,,""
146 (B),07:34,49,M Nov 8X+,heat,1,BPC* 1,UNWC 1,SKEC 1,AKGC 1,TGBC 1,KICC 1,,,,"2=FA + 2 NF; rest=FB"
147 (C),07:39,49,M Nov 8X+,heat,2,SPCC 1,SHAC 1,AKGC 2,CAMC 21,AWGC 1,,,,,"2=FA + 2 NF; rest=FB"
