"DAY SHEETS, as at 9:16AM on Wednesday 10th"
DAY 1: Monday 23rd March 2026
55 (C),12:30,13,B U15 8X+,heat,2,,AGSB 2,STPA 1,WAKA 1,MLBB 1,STPC 1,TRGB 1,,,"1=FA; 2-8=R"
56 (D),12:35,14,G U15 4+,heat,1,,TRGG 1,CGHS 1,KGCA 1,WKDS 1,QMAR 1,RRGS 1,,,"1,2=FA; 3-7=R"
57 (E),12:40,14,G U15 4+,heat,2,,WTLG 2,BARA 2,STPC 1,TIMG 1,STMG 1,QMAR 2,,,"1,2=FA; 3-7=R"
58 (F),12:45,14,G U15 4+,heat,3,,JHAR 1,SAMU 1,BARA 1,WTLG 1,WTKG 1,,,,"1,2=FA; 3-7=R"
59 (G),12:50,15,B U18 4X+,heat,1,AGSB 2,GBHS 1,MLBB 1,SPLH 1,STPC 1,SHIR 1,WLCO 1,,,"1=S; Rest=R"
60 (H),12:55,15,B U18 4X+,heat,2,AGSB 1,SCOT 1,STPA 1,SHAK 1,WNCS 1,WAKA 2,SHIR 2,,,"1=S; Rest=R"
61 (I),13:00,15,B U18 4X+,heat,3,BURN 1,SJHM 1,NELB 1,WNHS 1,WAKA 1,KGCA 1,STKT 1,,,"1=S; Rest=R"
62 (J),13:05,15,B U18 4X+,heat,4,STCC 1,MTAL 1,SPLH 2,HAUR 1,TRGB 1,TAKA 1,STPC 2,,,"1=S; Rest=R"
63 (K),13:10,16,G U18 2-,heat,1,STMG 2,WLGC 1,SHGH 1,EGGS 1,WTLG 1,STKT 1,GGHS 1,,,"1=S; Rest=R"
64 (L),13:15,16,G U18 2-,heat,2,,VILL 1,STMG 1,WNCS 1,SAMU 1,RRGS 2,STAN 1,,,"1=S; Rest=R"
65 (M),13:20,16,G U18 2-,heat,3,,MARN 1,COLU 1,WKDS 1,STAN 2,EGGS 2,RRGS 3,,,"1=S; Rest=R"
66 (N),13:25,16,G U18 2-,heat,4,,STAN 4,DIOC 1,RRGS 1,MLBG 1,CGHS 1,PUKE 1,,,"1=S; Rest=R"
67 (O),13:30,17,B U16 4+,heat,1,AGSB 3,STKT 1,CHCO 1,KGCA 1,STBD 1,STAN 1,OBHS 2,,,"1=FA; 2-5=R"
68 (P),13:35,17,B U16 4+,heat,2,WTLB 1,CBHS 3,KGCA 2,HAMB 1,STPA 1,AGSB 2,STBD 2,,,"1=FA; 2-5=R"
69 (Q),13:40,17,B U16 4+,heat,3,TRGB 1,STKT 2,WLCO 1,AGSB 1,TIMB 1,CBHS 2,WAKA 1,,,"1=FA; 2-5=R"
70 (R),13:45,17,B U16 4+,heat,4,,STPA 2,CASH 1,CBHS 1,HAMB 2,OBHS 1,WTLB 2,,,"1=FA; 2-5=R"
71 (S),13:50,18,G U16 8+,heat,1,,STPC 1,MLBG 1,STMG 1,STAN 1,WKDS 1,OTUM 1,,,"1,2=FA; 3-6=R"
72 (T),13:55,18,G U16 8+,heat,2,,EGGS 1,DIOC 1,CGHS 1,QMAR 1,STMG 2,BARA 1,,,"1,2=FA; 3-6=R"
73 (U),14:00,19,B N18 8+,heat,1,CBHS 1,AGSB 2,KGCA 1,HAMB 1,CHCO 1,CASH 1,STBD 2,JMCG 1,,"1=FA; 2-8=R"
74 (V),14:05,19,B N18 8+,heat,2,SPTW 1,TRGB 1,AGSB 1,SHAK 1,STBD 1,SLDB 1,HAMB 2,,,"1=FA; 2-8=R"
75 (W),14:10,20,G N18 2X,heat,1,TIMG 1,STKV 1,WNHS 1,SHGH 1,NPLG 1,MLBG 1,NCOG 1,,,"1,2=S; 3-5=R"
76 (X),14:15,20,G N18 2X,heat,2,RONC 1,GARI 1,ROTL 1,VILL 1,HUAN 1,WHGG 1,MLBG 2,,,"1,2=S; 3-5=R"
77 (Y),14:20,20,G N18 2X,heat,3,GLDW 2,ROTG 1,STHI 1,SLDG 1,NAPG 1,COLU 1,QHSD 1,,,"1,2=S; 3-5=R"
78 (Z),14:25,20,G N18 2X,heat,4,CRAI 1,DUNS 1,WAKA 1,MACL 1,WTKG 1,MTAL 1,WENT 1,,,"1,2=S; 3-5=R"
79 (A),14:30,20,G N18 2X,heat,5,VILL 2,MARN 1,GERA 1,BURN 1,AVSG 1,ASHB 1,HOWI 1,,,"1,2=S; 3-5=R"
80 (B),14:35,21,B U17 2X,heat,1,NELB 1,BTHC 1,SPLH 2,WNHS 1,TAUP 1,TRGB 1,TAUH 1,WLCO 2,,"1-5=Q F; Rest Elim"
81 (C),14:40,21,B U17 2X,heat,2,STAN 1,TAKA 2,SHAK 1,FRAN 1,GLDW 1,AQUI 1,JMCG 1,CBHS 1,,"1-5=Q F; Rest Elim"
82 (D),14:45,21,B U17 2X,heat,3,WNCS 2,TAKA 1,SCOT 1,SHIR 1,WHAK 1,STCC 1,OTUM 1,ROTB 1,,"1-5=Q F; Rest Elim"
83 (E),14:50,21,B U17 2X,heat,4,ROTO 1,ONSL 1,OBHS 1,WNCS 1,NAPB 1,CASH 1,STPA 1,WHGB 1,,"1-5=Q F; Rest Elim"
84 (F),14:55,21,B U17 2X,heat,5,KHSD 1,TIMB 2,WLCO 1,GBHS 1,SPLH 1,STKT 1,BURN 2,,,"1-5=Q F; Rest Elim"
85 (G),15:00,21,B U17 2X,heat,6,ONSL 2,STBD 1,TIMB 1,BURN 1,WTKB 1,HOWI 1,GLDW 2,,,"1-5=Q F; Rest Elim"
86 (H),15:05,22,G U17 1X,heat,1,TIMG 1,NAYL 1,STOR 1,STCU 1,BURN 1,ROTL 1,AVSG 2,WLGC 1,,"1-4=Q F; Rest Elim"
87 (I),15:10,22,G U17 1X,heat,2,QHSD 1,ROTG 2,BURN 2,ASHB 1,QMAR 1,STKV 1,AOTE 1,SPLH 1,,"1-4=Q F; Rest Elim"
88 (J),15:15,22,G U17 1X,heat,3,IONA 1,MTAS 1,STCA 1,ROTG 1,ACGT 1,TAKA 1,TEKC 1,VILL 1,,"1-4=Q F; Rest Elim"
89 (K),15:20,22,G U17 1X,heat,4,ROLL 1,POMP 1,WNHS 1,HUAN 1,LINC 1,AVSG 1,TAUH 1,IONA 2,,"1-4=Q F; Rest Elim"
90 (L),15:25,22,G U17 1X,heat,5,TALC 1,CASH 1,MARN 1,DUNS 1,HUAN 2,WHGG 1,TRGG 1,GERA 1,,"1-4=Q F; Rest Elim"
91 (M),15:30,22,G U17 1X,heat,6,WNCS 1,QMAR 2,SAMU 1,HAUR 1,WENT 1,RONC 1,TWIZ 1,SHGN 1,,"1-4=Q F; Rest Elim"
92 (N),15:35,22,G U17 1X,heat,7,MLBG 1,WKDS 1,WLGC 2,AQUI 1,HAUR 2,WNHS 2,STLN 1,,,"1-4=Q F; Rest Elim"
93 (O),15:40,23,G U15 8X+,heat,1,,STMG 1,STKT 1,WAKA 1,TAKA 1,STHI 1,,,,"1=FA; 2-5=R"
94 (P),15:45,23,G U15 8X+,heat,2,,QMAR 1,STPC 1,DIOC 1,CRAI 1,STCU 1,,,,"1=FA; 2-5=R"
95 (Q),15:50,24,B U15 8+,heat,1,,STBD 1,CBHS 2,HAMB 1,STCC 1,MTAL 1,,,,"1=F; 2-5=R"
96 (R),15:55,24,B U15 8+,heat,2,,,SHIR 1,KGCA 1,CBHS 1,WTLB 1,,,,"1=F; 2-5=R"
97 (S),16:00,25,B U18 4+,heat,1,MTAL 1,HAMB 2,AGSB 1,WTLB 1,CHCO 1,CBHS 2,SJHM 1,AGSB 3,,"1=FA; 2-8=R"
98 (T),16:05,25,B U18 4+,heat,2,HASB 1,AGSB 2,CHCO 2,CBHS 1,KGCA 1,HAMB 1,,,,"1=FA; 2-8=R"
99 (U),16:10,26,G U18 4+,heat,1,,BARA 1,WTLG 1,WKDS 1,RRGS 1,MLBG 1,STAN 2,,,"1,2=FA; Rest=R"
100 (V),16:15,26,G U18 4+,heat,2,,WLGC 1,SHGH 1,WNCS 1,EGGS 1,CGHS 1,RRGS 2,,,"1,2=FA; Rest=R"
101 (W),16:20,26,G U18 4+,heat,3,,WTLG 2,CASH 1,WNCS 2,WKDS 2,STAN 1,BARA 2,,,"1,2=FA; Rest=R"
102 (X),16:25,27,G U16 4X+,heat,1,RONC 1,SAMU 1,KGCA 1,WNHS 1,MARN 1,STHI 1,TRGG 1,WAKA 3,,"1-5=Q F; Rest Elim"
103 (Y),16:30,27,G U16 4X+,heat,2,GARI 1,PUKE 1,VILL 1,COLU 1,HOWI 1,OTUM 1,WHGG 2,AVSG 1,,"1-5=Q F; Rest Elim"
104 (Z),16:35,27,G U16 4X+,heat,3,STMW 1,OTUM 2,DIOC 2,HAMG 1,DIOC 1,BARA 1,COLU 2,ROTG 1,,"1-5=Q F; Rest Elim"
105 (A),16:40,27,G U16 4X+,heat,4,TIMG 1,NCOG 1,CRAI 1,CASH 1,BURN 1,MLBG 1,JHAR 1,GGHS 1,,"1-5=Q F; Rest Elim"
106 (B),16:45,27,G U16 4X+,heat,5,BARA 2,STMG 1,TAKA 1,QMAR 1,WHGG 1,WAKA 2,WKDS 1,,,"1-5=Q F; Rest Elim"
107 (C),16:50,27,G U16 4X+,heat,6,JHAR 2,WTLG 1,MTAL 1,WAKA 1,STPC 1,JPCR 1,GERA 1,,,"1-5=Q F; Rest Elim"
108 (D),16:55,28,B U16 2X,heat,1,TIMB 1,TRGB 1,SJHM 1,ONSL 1,MACL 1,TAKA 1,SPLH 2,CHCO 1,,"1,2=S; 3-5=R"
109 (E),17:00,28,B U16 2X,heat,2,RAHS 2,ROTO 1,CASH 2,MTAL 1,BURN 1,WNCS 1,TRGB 2,HAUR 1,,"1,2=S; 3-5=R"
110 (F),17:05,28,B U16 2X,heat,3,HAMB 2,CASH 1,SHIR 1,WAKA 1,WHAK 1,SCOT 1,STAN 1,KHSD 1,,"1,2=S; 3-5=R"
111 (G),17:10,28,B U16 2X,heat,4,STPA 1,STPC 1,CAMB 1,JMCG 1,SPLH 1,HAMB 1,BURN 2,SLDB 1,,"1,2=S; 3-5=R"
112 (H),17:15,28,B U16 2X,heat,5,WHGB 1,SPTW 1,STPC 2,SHAK 1,RAHS 1,AQUI 1,WAKA 2,PUKE 1,,"1,2=S; 3-5=R"
113 (I),17:20,29,G U18 1X,heat,1,TRIN 1,HOWI 1,AVSG 1,HAMG 1,WTLG 1,HLMT 1,TEKC 1,,,"1-4=Q; Last Elim; Rest=R"
114 (J),17:25,29,G U18 1X,heat,2,MLBG 1,OGHS 1,STPC 1,HAUR 1,JHAR 1,MTAL 1,PUKE 1,,,"1-4=Q; Last Elim; Rest=R"
115 (K),17:30,29,G U18 1X,heat,3,CGHS 1,SLDG 1,RAHS 1,CASH 1,CRAI 1,QMAR 1,ROTG 1,,,"1-4=Q; Last Elim; Rest=R"
116 (L),17:35,29,G U18 1X,heat,4,,BURN 1,CAMB 1,STMG 1,WAKA 1,MARN 1,TIMG 1,,,"1-4=Q; Last Elim; Rest=R"
117 (M),17:40,29,G U18 1X,heat,5,WLGC 1,STMG 2,STLN 1,KGCA 1,GGHS 1,NAYL 1,ACGT 1,,,"1-4=Q; Last Elim; Rest=R"
118 (N),17:45,29,G U18 1X,heat,6,,EGGS 1,CRAI 2,GLDW 1,WKDS 1,STKV 1,COLU 2,,,"1-4=Q; Last Elim; Rest=R"
119 (O),17:50,29,G U18 1X,heat,7,,ONSL 1,NGAR 1,COLU 1,TAUP 1,SHGN 1,EGGS 2,,,"1-4=Q; Last Elim; Rest=R"

DAY 2: Tuesday 24th March 2026
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_3,lane_4,lane_5,lane_6,lane_7,lane_8,lane_9,Progression
120 (A),08:00,30,B U18 1X,heat,1,TAUP 2,FRAN 1,NPLB 1,MTAL 1,HAUR 1,WNHS 1,TAKA 1,TIMB 1,,"1-4=Q; Last Elim; Rest=R"
121 (B),08:05,30,B U18 1X,heat,2,WTKB 1,WNCS 1,STPC 1,MLBB 1,OTUM 1,ASHB 1,WNHS 2,STCC 2,,"1-4=Q; Last Elim; Rest=R"
122 (C),08:10,30,B U18 1X,heat,3,ROTL 1,PUKE 1,HLCR 1,TRGB 1,STKV 1,,JPCR 1,MLBB 2,,"1-4=Q; Last Elim; Rest=R"
123 (D),08:15,30,B U18 1X,heat,4,GLDW 1,TEAW 1,LIND 1,HAMB 1,NELB 1,AOTE 1,DARF 1,STBD 1,,"1-4=Q; Last Elim; Rest=R"
124 (E),08:20,30,B U18 1X,heat,5,WTLB 1,NGAR 1,WENT 1,SPLH 2,BAYF 1,SHAK 1,STCC 1,BURN 1,,"1-4=Q; Last Elim; Rest=R"
125 (F),08:25,30,B U18 1X,heat,6,KHSD 1,CBHS 1,GBHS 1,SPLH 1,HASB 1,SPTW 1,CHCO 1,OBHS 1,,"1-4=Q; Last Elim; Rest=R"
126 (G),08:30,30,B U18 1X,heat,7,AGSB 1,NAPB 1,STPA 1,WAKA 1,WLCO 1,TRGB 2,SCOT 1,GERA 1,,"1-4=Q; Last Elim; Rest=R"
127 (H),08:35,31,G U15 2X,heat,1,ROTL 1,MACL 1,ASHB 1,WAKA 1,TAKA 1,MTAL 1,QHSD 1,SAMU 1,,"1=FA; 2-5=R"
128 (I),08:40,31,G U15 2X,heat,2,STPC 1,MARN 1,GERA 1,HAMG 1,STIL 1,TRGG 1,JHAR 1,COLU 1,,"1=FA; 2-5=R"
129 (J),08:45,31,G U15 2X,heat,3,HLMT 1,AVSG 1,HUAN 1,TIMG 1,STHI 1,KGCA 1,STKV 1,WNHS 1,,"1=FA; 2-5=R"
130 (K),08:50,31,G U15 2X,heat,4,VILL 1,HAMG 2,TALC 1,CRAI 1,WHGG 1,PUKE 1,BTHC 1,QMAR 1,,"1=FA; 2-5=R"
131 (L),08:55,32,B U15 4X+,heat,1,SHIR 1,STKT 2,TIMB 1,WAKA 1,MLBB 1,AGSB 1,STPA 2,CHCO 2,,"1=FA; 2-5=R"
132 (M),09:00,32,B U15 4X+,heat,2,CHCO 1,WNCS 1,GLDW 1,SPLH 1,MTAL 1,HLMT 1,STPC 2,CASH 1,,"1=FA; 2-5=R"
133 (N),09:05,32,B U15 4X+,heat,3,WAKA 3,AGSB 3,JMCG 1,MTAS 1,STKT 1,STPC 1,SHIR 2,,,"1=FA; 2-5=R"
134 (O),09:10,32,B U15 4X+,heat,4,HAMB 1,AGSB 2,STPA 1,HAUR 1,WAKA 2,TRGB 1,MLBB 2,,,"1=FA; 2-5=R"
135 (P),09:15,33,G U17 8+,heat,1,,STCU 1,STKT 1,RRGS 1,DIOC 1,WLGC 1,,,,"1=F; 2-5=R"
136 (Q),09:20,33,G U17 8+,heat,2,,,RRGS 2,STMG 1,BARA 1,STPC 1,,,,"1=F; 2-5=R"
137 (R),09:25,34,B U17 4+,heat,1,STAN 2,CHCO 1,WTLB 2,KGCA 1,STPA 1,PUKE 1,ROTO 1,,,"1,2=FA; 3-7=R"
138 (S),09:30,34,B U17 4+,heat,2,WTLB 1,WHAK 1,CBHS 1,AGSB 1,STKT 2,HAMB 1,TIMB 1,,,"1,2=FA; 3-7=R"
139 (T),09:35,34,B U17 4+,heat,3,WLCO 1,MLBB 1,CHCO 2,STKT 1,STBD 1,STAN 1,GBHS 1,,,"1,2=FA; 3-7=R"
140 (U),09:40,35,G N18 4X+,heat,1,TIMG 1,COLU 1,CASH 1,WAKA 1,SHGH 1,JHAR 1,STKT 1,DIOC 1,,"1=FA; 2-5=R"
141 (V),09:45,35,G N18 4X+,heat,2,OTUM 1,SHGH 2,IONA 1,WTKG 1,WNHS 1,VILL 1,STKT 2,GERA 1,,"1=FA; 2-5=R"
142 (W),09:50,35,G N18 4X+,heat,3,QMAR 1,BTHC 1,OGHS 1,WAKA 2,NPLG 1,STPC 1,GLDW 1,STCU 1,,"1=FA; 2-5=R"
143 (X),09:55,35,G N18 4X+,heat,4,NCOG 1,MTAL 1,STKV 1,STHI 1,MLBG 1,MARN 1,BURN 1,CRAI 1,,"1=FA; 2-5=R"
144 (Y),10:00,36,B N18 4+,heat,1,MTAL 1,SLDB 1,TRGB 1,HAMB 1,STBD 1,CHCO 2,WTLB 1,CASH 2,,"1,2=FA; 3-7=R"
145 (Z),10:05,36,B N18 4+,heat,2,ASHB 1,CASH 1,MLBB 1,PAPA 1,CHCO 1,TIMB 1,STBD 2,FRAN 1,,"1,2=FA; 3-7=R"
146 (A),10:10,36,B N18 4+,heat,3,STBD 3,TRGB 2,KGCA 1,SJHM 1,AGSB 1,SPTW 1,WNHS 1,,,"1,2=FA; 3-7=R"
147 (B),10:15,37,G U16 4+,heat,1,EGGS 2,RRGS 1,STAN 1,MLBG 1,QMAR 1,PUKE 1,COLU 1,,,"1=FA; 2-5=R"
148 (C),10:20,37,G U16 4+,heat,2,JHAR 1,STMG 1,DIOC 2,CGHS 1,DIOC 1,EGGS 1,TRGG 1,,,"1=FA; 2-5=R"
149 (D),10:25,37,G U16 4+,heat,3,,CRAI 1,STMG 2,MLBG 2,SHGH 1,WTLG 1,AVSG 1,,,"1=FA; 2-5=R"
150 (E),10:30,37,G U16 4+,heat,4,,STAN 2,OTUM 1,WKDS 1,SAMU 1,BARA 1,GGHS 1,,,"1=FA; 2-5=R"
151 (F),10:35,38,B U16 8+,heat,1,MTAL 1,STKT 1,CBHS 1,STBD 1,KGCA 1,CHCO 1,STPA 2,,,"1=FA; 2-8=R"
152 (G),10:40,38,B U16 8+,heat,2,WTLB 1,OBHS 1,STAN 1,HAMB 1,STPA 1,AGSB 1,CBHS 2,,,"1=FA; 2-8=R"
153 (H),10:45,39,G U17 2-,heat,1,STOR 1,STMG 1,GGHS 2,SAMU 1,STKT 1,AVSG 1,WLGC 1,,,"1=FA; 2-5=R"
154 (I),10:50,39,G U17 2-,heat,2,BTHC 1,STPC 1,SAMU 2,WKDS 1,EGGS 1,BARA 1,GGHS 1,,,"1=FA; 2-5=R"
